,Name,Symbol
4~5,메리츠화재,60
4~5,한화손해보험,370
4~5,조선내화,480
4~5,삼성화재,810
4~5,현대해상,1450
4~5,현대차증권,1500
4~5,조흥,2600
4~5,금호산업,2990
4~5,성보화학,3080
4~5,한일홀딩스,3300
4~5,대신증권,3540
4~5,S&T중공업,3570
4~5,창해에탄올,4650
4~5,신라교역,4970
4~5,동국산업,5160
4~5,POSCO,5490
4~5,풍산홀딩스,5810
4~5,우진아이엔에스,10400
4~5,오리콤,10470
4~5,평화홀딩스,10770
4~5,롯데케미칼,11170
4~5,동원개발,13120
4~5,극동유화,14530
4~5,인터엠,17250
4~5,SK텔레콤,17670
4~5,E1,17940
4~5,KB오토시스,24120
4~5,SJM홀딩스,25530
4~5,GS홈쇼핑,28150
4~5,신도리코,29530
4~5,코엔텍,29960
4~5,KT,30200
4~5,피에스케이홀딩스,31980
4~5,KT&G,33780
4~5,무학,33920
4~5,인천도시가스,34590
4~5,한국토지신탁,34830
4~5,금화피에스시,36190
4~5,레드캡투어,38390
4~5,한일네트웍스,46110
4~5,고려신용정보,49720
4~5,한전KPS,51600
4~5,지에스이,53050
4~5,KTcs,58850
4~5,한라홀딩스,60980
4~5,에스텍,69510
4~5,한세엠케이,69640
4~5,텔코웨어,78000
4~5,휴비스,79980
4~5,그린케미칼,83420
4~5,미래에셋생명,85620
4~5,하나금융지주,86790
4~5,한화생명,88350
4~5,진도,88790
4~5,케이씨티,89150
4~5,KPX홀딩스,92230
4~5,청담러닝,96240
4~5,한국철강,104700
4~5,인포바인,115310
4~5,케이씨에스,115500
4~5,대성에너지,117580
4~5,아이마켓코리아,122900
4~5,아시아경제,127710
4~5,한전산업,130660
4~5,DGB금융지주,139130
4~5,에이리츠,140910
4~5,케이탑리츠,145270
4~5,코리아오토글라스,152330
4~5,애경유화,161000
4~5,한솔제지,213500
4~5,케이디켐,221980
4~5,씨엠에스에듀,225330
4~5,현대코퍼레이션홀딩스,227840
4~5,메카로,241770
4~5,상신전자,263810
4~5,경동도시가스,267290
4~5,한일시멘트,300720
5~6,부국증권,1270
5~6,세아베스틸,1430
5~6,신영증권,1720
5~6,신풍제지,2870
5~6,한국쉘석유,2960
5~6,유화증권,3460
5~6,메리츠종금증권,8560
5~6,무림P&P,9580
5~6,태림포장,11280
5~6,DB금융투자,16610
5~6,MH에탄올,23150
5~6,기업은행,24110
5~6,에스에이엠티,31330
5~6,정상제이엘에스,40420
5~6,휴켐스,69260
5~6,롯데하이마트,71840
5~6,동북아12호,83370
5~6,일진파워,94820
5~6,SK이노베이션,96770
5~6,진양홀딩스,100250
5~6,현대중공업지주,267250
6~8,두산,150
6~8,화성산업,2460
6~8,IHQ,3560
6~8,효성,4800
6~8,푸른저축은행,7330
6~8,세아특수강,19440
6~8,이라이콤,41520
6~8,유아이엘,49520
6~8,이베스트투자증권,78020
6~8,동북아13호,83380
6~8,네오티스,85910
6~8,에스티오,98660
6~8,한국자산신탁,123890
6~8,그리티,204020
6~8,SV인베스트먼트,289080
